GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ootp-ai,com.ljs.ootp.ai.splits,Splits,18,15,0,0,6,5,3,2,3,2
ootp-ai,com.ljs.ootp.ai.stats,EraBaseRuns,122,18,0,0,16,7,1,5,1,5
ootp-ai,com.ljs.ootp.ai.stats,PitchingStats,372,36,8,0,56,8,39,8,35,8
ootp-ai,com.ljs.ootp.ai.stats,FipBaseRuns,0,168,0,0,0,24,0,6,0,6
ootp-ai,com.ljs.ootp.ai.stats,SplitPercentages,286,0,12,0,55,0,18,0,12,0
ootp-ai,com.ljs.ootp.ai.stats,PitcherOverall.new Object() {...},19,0,0,0,1,0,1,0,1,0
ootp-ai,com.ljs.ootp.ai.stats,PitcherOverall.new Function() {...},69,0,3,0,13,0,4,0,2,0
ootp-ai,com.ljs.ootp.ai.stats,PitcherOverall.new PitcherOverall() {...},22,6,0,0,4,1,4,1,4,1
ootp-ai,com.ljs.ootp.ai.stats,PitcherOverall.new PitcherOverall() {...},18,10,0,0,3,2,3,2,3,2
ootp-ai,com.ljs.ootp.ai.stats,BattingStats,313,180,12,4,44,33,34,21,26,21
ootp-ai,com.ljs.ootp.ai.stats,Woba,120,19,0,0,12,6,2,4,2,4
ootp-ai,com.ljs.ootp.ai.stats,Woba.Event,5,63,0,0,0,1,1,3,1,3
ootp-ai,com.ljs.ootp.ai.stats,History,180,0,8,0,42,0,16,0,12,0
ootp-ai,com.ljs.ootp.ai.stats,TeamStats,102,0,2,0,20,0,9,0,8,0
ootp-ai,com.ljs.ootp.ai.stats,PitcherOverall,23,29,0,0,4,4,4,2,4,2
ootp-ai,com.ljs.ootp.ai.stats,SplitPercentagesHolder,8,0,0,0,4,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.stats,SplitStats,23,0,0,0,6,0,4,0,4,0
ootp-ai,com.ljs.ootp.ai.stats,BaseRuns,0,22,0,0,0,7,0,1,0,1
ootp-ai,com.ljs.ootp.ai.config,Config,79,0,10,0,15,0,10,0,5,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,Rotation.Role,68,0,0,0,1,0,4,0,4,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.Move,22,0,0,0,6,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,Rotation.new Object() {...},51,0,0,0,2,0,1,0,1,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,Rotation,1002,0,90,0,152,0,64,0,17,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.Substitute,16,0,0,0,5,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.new Function() {...},40,0,2,0,6,0,3,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.new Supplier() {...},188,0,16,0,38,0,10,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.new Function() {...},15,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.new Object() {...},33,0,0,0,1,0,1,0,1,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.new ActionGenerator() {...},176,0,16,0,30,0,13,0,5,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection,238,0,14,0,49,0,19,0,11,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.RotationDefinition,37,0,0,0,12,0,6,0,6,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,RotationSelection.Swap,16,0,0,0,5,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.selection.rotation,Rotation.BullpenOption,48,0,0,0,1,0,4,0,4,0
ootp-ai,com.ljs.ootp.ai.site,Version,5,33,0,0,0,2,1,3,1,3
ootp-ai,com.ljs.ootp.ai.site,SiteHolder,8,0,0,0,4,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.site,Record,51,0,2,0,9,0,7,0,6,0
ootp-ai,com.ljs.ootp.ai.selection,Mode.new Mode() {...},29,0,0,0,9,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.selection,Mode.new Mode() {...},40,0,0,0,11,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.selection,Mode.new Mode() {...},79,0,0,0,3,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.selection,Mode.new Mode() {...},13,0,0,0,3,0,3,0,3,0
ootp-ai,com.ljs.ootp.ai.selection,PitcherSelectionFactory,79,0,0,0,24,0,10,0,10,0
ootp-ai,com.ljs.ootp.ai.selection,BestStartersSelection,555,0,28,0,97,0,27,0,13,0
ootp-ai,com.ljs.ootp.ai.selection,BestStartersSelection.new Function() {...},21,0,0,0,2,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.selection,SelectedPlayers,275,0,14,0,46,0,19,0,12,0
ootp-ai,com.ljs.ootp.ai.selection,Mode,79,0,0,0,11,0,6,0,6,0
ootp-ai,com.ljs.ootp.ai.selection,HitterSelectionFactory,65,0,0,0,19,0,8,0,8,0
ootp-ai,com.ljs.ootp.ai.selection,SlotSelection.Builder,31,0,0,0,11,0,7,0,7,0
ootp-ai,com.ljs.ootp.ai.selection,Selections,36,0,0,0,7,0,8,0,8,0
ootp-ai,com.ljs.ootp.ai.selection,SlotSelection,178,0,26,0,39,0,17,0,4,0
ootp-ai,com.ljs.ootp.ai.selection,SlotAssignments,167,0,20,0,43,0,22,0,12,0
ootp-ai,com.ljs.ootp.ai.selection,PitcherSelectionFactory.new Function() {...},20,0,0,0,4,0,2,0,2,0
ootp-ai,com.ljs.ootp.ai.ootp5.site,PlayerPage.BattingRatingsType,9,59,0,0,0,1,2,2,2,2
